repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,composes,implements,measures,overrides
mission-peace__interview,,java,1,709,10,1201,760,5,2827,814,745,1692,1464,2911,404,4,667,5412,5
mockito__mockito,,java,1,1490,2813,2690,2735,663,9716,2319,1680,7817,4458,4667,1392,4,1764,15238,804
mybatis__mybatis-3,,java,1,2414,2957,2675,1910,376,11816,2125,1923,9845,7060,5912,2805,4,1450,17041,992
naman14__Timber,,java,1,541,473,424,384,49,2874,378,179,1401,3276,1720,191,4,260,3309,112
nathanmarz__storm,,java,1,704,1227,1210,1128,334,7810,1842,953,4413,5476,5890,2199,4,761,9682,821
navasmdc__MaterialDesignLibrary,,java,1,188,27,70,57,19,397,40,10,145,468,190,29,4,40,473,26
newbee-ltd__newbee-mall,,java,1,591,234,177,105,8,1032,179,35,628,665,658,141,4,89,1514,54
nostra13__Android-Universal-Image-Loader,,java,1,210,218,211,182,48,1304,230,112,671,1171,903,241,4,123,1574,181
ogaclejapan__SmartTabLayout,,java,1,169,20,56,51,9,334,100,20,147,267,331,32,4,34,446,9
orhanobut__logger,,java,1,82,5,31,23,7,155,31,9,81,98,161,17,4,17,194,22
paascloud__paascloud-master,,java,1,1398,1773,1429,892,324,5070,1147,392,1667,1712,2895,802,4,732,5674,415
pagehelper__Mybatis-PageHelper,,java,1,308,432,330,223,55,1029,279,101,915,448,787,94,4,172,1722,85
pedant__sweet-alert-dialog,,java,1,78,1,14,13,0,153,24,4,48,226,69,7,4,8,155,0
pedrovgs__EffectiveAndroidUI,,java,1,150,101,115,87,19,455,73,20,219,264,223,116,4,61,706,54
permissions-dispatcher__PermissionsDispatcher,,java,1,314,41,65,45,2,334,28,6,145,142,88,91,4,35,446,0
perwendel__spark,,java,1,281,195,392,264,33,1856,338,147,1716,1544,1321,412,4,208,3089,109
pockethub__PocketHub,,java,1,1111,169,394,253,33,1339,276,75,404,792,857,50,4,203,1892,30
processing__processing,,java,1,782,525,672,648,111,12138,1084,596,12575,19124,11381,1460,4,434,15326,1063
proxyee-down-org__proxyee-down,,java,1,163,80,95,85,3,601,112,22,274,301,311,23,4,53,733,0
pxb1988__dex2jar,,java,1,579,945,763,614,216,3554,854,683,3934,4086,3032,1370,4,445,4870,403
qiurunze123__miaosha,,java,1,1772,281,493,359,42,1877,413,49,551,927,1016,267,4,256,2378,50
quartz-scheduler__quartz,,java,1,662,1158,800,592,290,5590,933,770,6666,3450,3655,1095,4,447,7778,1287
rabbitmq__rabbitmq-tutorials,,java,1,815,0,64,41,0,206,57,15,37,83,83,0,4,44,327,0
react-native-image-picker__react-native-image-picker,,java,1,166,0,19,11,2,103,10,7,64,82,100,8,4,10,151,6
real-logic__aeron,,java,1,1885,2336,1960,1461,299,18803,2497,1836,20111,23249,12176,3154,4,1143,19267,576
realm__realm-java,,java,1,2109,2373,1621,1300,516,13913,2680,1896,21456,13859,8718,2391,4,975,20432,1187
rengwuxian__MaterialEditText,,java,1,121,8,27,22,1,601,22,2,333,754,251,13,4,15,781,1
resilience4j__resilience4j,,java,1,2345,3376,2713,2114,487,11171,3292,1978,12538,6699,5861,2291,4,1526,16669,955
rest-assured__rest-assured,,java,1,1119,1259,1050,678,217,7497,2732,1495,10064,4081,5152,1075,4,545,12024,607
roughike__BottomBar,,java,1,208,18,68,54,3,479,57,38,482,514,299,41,4,39,660,5
scwang90__SmartRefreshLayout,,java,1,885,621,444,357,139,2550,680,162,1341,2897,2386,470,4,251,2943,396
seaswalker__spring-analysis,,java,1,208,10,65,39,4,117,36,5,20,31,45,7,4,33,251,4
shuzheng__zheng,,java,1,1968,795,868,723,270,7778,3546,334,4382,2743,6500,620,4,489,8961,93
shwenzhang__AndResGuard,,java,1,295,61,104,97,9,832,139,88,592,954,523,68,4,61,951,24
singwhatiwanna__dynamic-load-apk,,java,1,362,67,85,73,13,506,55,23,217,590,346,61,4,48,718,68
smuyyh__BookReader,,java,1,743,1052,763,699,271,4699,603,210,2603,4251,2846,494,4,474,5427,436
software-mansion__react-native-svg,,java,1,941,42,218,183,68,1887,151,107,870,1111,2465,303,4,134,2223,57
sohutv__cachecloud,,java,1,1983,1677,1194,743,152,7180,1183,347,5082,5652,7218,1179,4,621,8254,659
sqshq__piggymetrics,,java,1,377,137,196,140,9,534,121,80,415,307,173,113,4,99,868,17
sshahine__JFoenix,,java,1,378,372,503,428,41,3200,436,259,1279,2448,1428,229,4,297,3936,125
ssssssss-team__spider-flow,,java,1,382,300,293,228,67,1417,257,92,834,804,1156,280,4,163,2108,90
supertokens__supertokens-core,,java,1,829,3708,1291,954,170,6166,977,677,15597,4969,5005,1168,4,704,10689,333
termux__termux-app,,java,1,495,621,473,425,49,3837,511,143,3850,3728,2900,530,4,277,4842,117
testcontainers__testcontainers-java,,java,1,2524,1157,1443,1002,310,5818,1286,923,4561,3215,2339,705,4,781,8359,559
trello-archive__RxLifecycle,,java,1,220,87,109,80,23,437,99,9,52,368,118,13,4,59,775,34
uknownothingsnow__JsBridge,,java,1,76,10,34,27,7,186,19,13,80,123,182,29,4,19,265,17
umano__AndroidSlidingUpPanel,,java,1,67,1,14,19,2,247,22,7,145,352,233,24,4,10,291,9
vipshop__vjtools,,java,1,464,178,570,490,28,3021,432,162,1776,1696,2258,124,4,338,4451,85
wasabeef__glide-transformations,,java,1,113,4,52,34,20,228,40,0,50,238,203,4,4,27,325,80
wasabeef__richeditor-android,,java,1,119,1,17,19,0,93,11,2,102,21,80,7,4,11,170,0
williamfiset__Algorithms,,java,1,700,21,762,624,41,4217,606,624,3166,3260,3132,232,4,448,6004,78
winterbe__java8-tutorial,,java,1,96,2,156,118,0,325,81,19,103,84,126,2,4,88,640,0
wiremock__wiremock,,java,1,1334,2321,1983,1339,431,10120,2775,1739,17889,6646,5128,2311,4,1093,16050,1225
wuyouzhuguli__SpringAll,,java,1,2497,181,625,456,23,1495,336,61,307,599,654,91,4,315,2628,42
wxiaoqi__Spring-Cloud-Platform,,java,1,617,301,349,274,42,1739,263,120,595,1034,890,111,4,177,2600,52
xiaojieonly__Ehviewer_CN_SXJ,,java,1,1030,1099,1090,1019,185,8789,1116,611,5447,10350,5905,872,4,684,10030,405
ximsfei__Android-skin-support,,java,1,1206,294,365,290,97,1742,340,183,1177,1372,1380,112,4,199,2430,84
xkcoding__spring-boot-demo,,java,1,2111,393,966,782,51,2081,560,100,457,631,791,239,4,486,3348,55
yanzhenjie__AndPermission,,java,1,209,192,222,152,84,695,188,84,414,448,427,120,4,117,1062,114
ybq__Android-SpinKit,,java,1,132,85,97,77,35,317,87,53,262,137,224,11,4,55,536,55
youth5201314__banner,,java,1,221,132,125,100,24,515,161,65,333,377,395,43,4,69,686,9
yudaocode__SpringBoot-Labs,,java,1,10609,703,2402,2065,66,4940,1605,205,812,2133,1814,370,4,1223,8820,47
zfile-dev__zfile,,java,1,927,573,549,410,68,1819,455,116,760,658,853,257,4,279,2061,46
zhihu__Matisse,,java,1,245,121,113,98,18,630,106,31,320,712,454,96,4,65,808,30
zhisheng17__flink-learning,,java,1,1240,393,788,604,38,2421,509,207,716,1407,1206,175,4,420,3213,77
zhoutaoo__SpringCloud,,java,1,849,391,515,379,92,1148,370,51,375,331,534,194,4,259,1713,98
zo0r__react-native-push-notification,,java,1,155,3,32,24,0,233,18,19,108,475,120,7,4,17,262,0
zouzg__mybatis-generator-gui,,java,1,94,44,70,45,7,533,41,9,344,482,269,37,4,35,707,1
