repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
JeffLi1993__springboot-learning-example,spring-data-elasticsearch-crud,java,1,14,7,12,13,1,47,4,0,12,23,39,5,71,0
JeffLi1993__springboot-learning-example,spring-data-elasticsearch-query,java,1,14,7,12,13,1,32,4,0,4,17,20,5,48,0
JeffLi1993__springboot-learning-example,springboot-configuration,java,1,6,0,4,5,0,4,2,0,0,0,1,0,12,0
JeffLi1993__springboot-learning-example,springboot-dubbo-client,java,1,9,3,8,8,0,21,4,0,3,13,6,1,36,0
JeffLi1993__springboot-learning-example,springboot-dubbo-server,java,1,10,3,8,9,1,20,6,1,0,12,11,0,35,0
JeffLi1993__springboot-learning-example,springboot-elasticsearch,java,1,14,7,12,13,1,27,4,0,3,13,17,5,46,0
JeffLi1993__springboot-learning-example,springboot-freemarker,java,1,14,9,12,13,1,36,7,0,7,15,20,8,60,0
JeffLi1993__springboot-learning-example,springboot-hbase,java,1,14,7,12,13,1,29,10,4,5,14,12,1,50,0
JeffLi1993__springboot-learning-example,springboot-helloworld,java,1,6,0,4,5,0,4,2,0,0,0,1,0,12,0
JeffLi1993__springboot-learning-example,springboot-mybatis-annotation,java,1,14,7,12,13,1,23,8,0,2,10,9,2,42,0
JeffLi1993__springboot-learning-example,springboot-mybatis-mutil-datasource,java,1,22,12,20,21,1,58,13,0,6,29,16,5,82,0
JeffLi1993__springboot-learning-example,springboot-mybatis-redis-annotation,java,1,10,3,8,9,1,25,5,0,2,19,17,2,42,0
JeffLi1993__springboot-learning-example,springboot-mybatis-redis,java,1,14,9,12,13,1,40,8,0,11,26,21,10,63,0
JeffLi1993__springboot-learning-example,springboot-mybatis,java,1,14,9,12,13,1,23,8,0,2,10,9,2,42,0
JeffLi1993__springboot-learning-example,springboot-properties,java,1,9,1,8,8,0,31,4,0,1,22,9,1,53,0
JeffLi1993__springboot-learning-example,springboot-restful,java,1,14,9,12,13,1,39,8,0,10,18,21,10,66,0
JeffLi1993__springboot-learning-example,springboot-validation-over-json,java,1,15,4,18,14,2,48,13,4,5,34,23,5,79,0
JeffLi1993__springboot-learning-example,springboot-webflux-1-quickstart,java,1,8,1,6,7,0,6,3,0,0,0,3,1,18,0
JeffLi1993__springboot-learning-example,springboot-webflux-10-book-manage-sys,java,1,13,7,12,12,1,38,4,1,4,25,21,9,63,0
JeffLi1993__springboot-learning-example,springboot-webflux-2-restful,java,1,13,5,10,12,0,37,6,0,9,25,18,9,68,0
JeffLi1993__springboot-learning-example,springboot-webflux-3-mongodb,java,1,13,5,10,12,0,29,4,0,5,19,14,7,55,0
