repo,subrepo,lang,includes,contains,requires,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
apereo__cas,api,java,1,39,10,59,44,1,277,29,1,21,48,73,22,188,0
apereo__cas,ci,java,1,18,0,18,0,0,110,18,0,77,2,119,0,220,0
apereo__cas,core,java,1,54,4,72,52,12,205,38,1,58,94,174,0,308,0
apereo__cas,support,java,1,13,3,16,12,0,52,15,2,4,10,20,4,67,0
apereo__cas,webapp,java,1,6,0,6,5,0,6,3,2,0,0,2,0,16,0
apple__pkl,bench,java,1,7,0,7,7,0,23,4,1,4,4,4,0,48,0
apple__pkl,pkl-cli,java,1,10,0,12,9,0,12,6,0,0,0,1,2,21,0
apple__pkl,pkl-config-java,java,1,45,10,91,72,31,346,119,42,88,167,232,40,451,0
apple__pkl,pkl-executor,java,1,16,4,25,24,2,172,51,20,28,223,124,12,196,0
apple__pkl,pkl-gradle,java,1,31,27,46,27,18,342,12,0,113,19,47,11,470,0
arduino__Arduino,,java,2,516,527,508,360,59,3147,456,284,3392,2635,1869,437,4326,1
asLody__VirtualApp,,java,3,988,1569,1830,2165,656,7439,1575,418,4250,5314,4995,572,9268,0
ashishps1__awesome-system-design-resources,,java,1,5,0,5,0,0,29,5,5,9,24,16,0,43,0
awsdocs__aws-doc-sdk-examples,awsdocs__aws-doc-sdk-examples,java,1,11,0,16,10,0,27,8,6,12,12,15,0,51,0
awsdocs__aws-doc-sdk-examples,javascriptv3,java,1,4,0,4,3,0,7,2,0,2,1,0,0,15,0
awsdocs__aws-doc-sdk-examples,javav2,java,1,13,0,20,12,0,30,10,0,10,0,33,0,71,0
baomidou__mybatis-plus,,java,5,480,895,777,547,209,4023,1005,276,2434,2250,3756,390,5639,166
beemdevelopment__Aegis,,java,1,245,607,560,514,98,2615,596,450,2122,1955,1812,482,3679,0
ben-manes__caffeine,caffeine,java,1,42,48,66,42,24,255,37,4,196,231,72,8,407,0
ben-manes__caffeine,examples,java,1,10,0,8,9,0,31,7,0,0,15,10,2,45,0
ben-manes__caffeine,guava,java,1,10,0,17,33,5,83,14,13,15,8,61,0,107,0
ben-manes__caffeine,jcache,java,1,50,18,63,57,3,403,69,22,223,329,272,14,586,0
ben-manes__caffeine,simulator,java,1,260,383,436,520,165,2317,472,280,1954,3007,1012,566,2676,0
bilibili__DanmakuFlameMaster,,java,2,93,217,198,202,61,1848,250,112,1335,2315,1134,486,2093,1
brettwooldridge__HikariCP,,java,1,54,48,108,96,21,869,84,40,505,959,553,88,1122,0
bumptech__glide,annotation,java,1,20,0,36,31,0,290,26,28,203,281,212,45,332,0
bumptech__glide,integration,java,1,8,0,6,7,0,15,3,2,3,9,20,2,22,0
bumptech__glide,library,java,1,340,968,847,789,322,4260,1097,496,2019,3250,3393,1100,5534,82
bumptech__glide,mocks,java,1,10,0,7,11,0,20,4,3,2,4,10,0,35,0
bumptech__glide,samples,java,1,7,0,4,6,0,12,2,0,1,12,5,0,13,0
bumptech__glide,testutil,java,1,12,0,22,23,0,88,18,11,30,29,74,1,133,0
bumptech__glide,third_party,java,1,7,0,10,14,0,105,13,7,58,166,51,4,102,0
bytedeco__javacv,,java,2,117,57,239,203,74,3304,414,273,1518,3961,2196,312,3806,38
cabaletta__baritone,,java,6,435,1119,751,556,222,3672,741,417,3327,3175,3025,1023,4826,7
careercup__CtCI-6th-Edition,,java,17,758,149,1193,639,19,3093,826,295,2101,1693,2602,513,5842,0
cats-oss__android-gpuimage,,java,1,103,15,219,156,95,1104,178,34,784,1149,619,59,1275,0
chat2db__Chat2DB,,java,26,1179,2420,1676,1141,289,6197,1796,433,2627,1915,3691,1251,7420,4
chrisjenx__Calligraphy,,java,2,25,2,36,28,2,158,35,14,82,97,189,18,222,0
clojure__clojure,,java,1,181,27,924,1334,398,6323,1284,543,7268,6456,8604,2129,7807,78
code4craft__webmagic,,java,6,258,467,423,289,142,1527,464,171,1182,875,899,404,2323,0
codecentric__spring-boot-admin,,java,5,265,495,431,357,67,1722,445,144,523,1059,1105,541,2254,0
conductor-oss__conductor,amqp,java,1,19,12,24,22,0,240,21,8,144,267,108,32,296,0
conductor-oss__conductor,annotations-processor,java,1,21,7,35,30,11,191,33,15,148,132,130,18,298,0
conductor-oss__conductor,annotations,java,1,8,0,6,7,0,4,0,0,0,0,0,0,7,0
conductor-oss__conductor,awss3-storage,java,1,9,2,6,8,0,24,3,1,3,22,18,3,35,0
conductor-oss__conductor,awssqs-event-queue,java,1,10,1,9,11,0,86,14,4,17,87,41,4,107,0
conductor-oss__conductor,azureblob-storage,java,1,9,2,6,8,0,45,3,1,10,41,21,2,57,0
conductor-oss__conductor,cassandra-persistence,java,1,20,17,22,18,0,272,12,7,93,412,143,22,347,0
conductor-oss__conductor,client-spring,java,1,9,0,8,8,0,39,4,1,7,23,17,2,59,0
conductor-oss__conductor,client,java,1,26,24,34,28,5,324,52,37,162,239,350,28,416,0
conductor-oss__conductor,common,java,1,58,31,106,101,5,1066,122,8,484,852,419,69,1469,0
conductor-oss__conductor,core,java,1,167,424,281,183,60,1856,191,96,2240,1521,1904,584,2610,0
conductor-oss__conductor,es6-persistence,java,1,33,20,54,48,14,381,41,30,220,484,302,23,549,0
conductor-oss__conductor,es7-persistence,java,1,30,15,45,42,12,280,35,24,138,282,202,16,415,0
conductor-oss__conductor,grpc-client,java,1,10,0,10,9,4,61,10,0,18,46,102,0,109,0
conductor-oss__conductor,grpc-server,java,1,15,0,18,14,0,94,10,1,35,113,116,4,147,0
conductor-oss__conductor,grpc,java,1,6,0,4,5,1,77,2,0,31,2,73,1,153,0
conductor-oss__conductor,http-task,java,1,9,3,8,12,1,60,6,1,16,56,30,6,51,0
conductor-oss__conductor,java-sdk,java,1,12,0,13,13,0,86,12,5,9,59,57,4,132,0
conductor-oss__conductor,kafka,java,1,12,0,7,13,0,61,4,0,18,53,34,6,54,0
conductor-oss__conductor,metrics,java,1,8,0,7,9,0,18,5,1,2,12,7,0,20,0
conductor-oss__conductor,mysql-persistence,java,1,19,6,26,22,3,212,27,7,281,54,299,8,400,0
conductor-oss__conductor,nats-streaming,java,1,15,3,16,14,2,97,8,5,32,104,41,4,136,0
conductor-oss__conductor,nats,java,1,17,3,20,16,1,125,14,8,29,126,56,8,172,0
conductor-oss__conductor,postgres-external-storage,java,1,11,2,8,10,0,53,4,1,9,47,32,4,67,0
conductor-oss__conductor,postgres-persistence,java,1,26,13,42,33,6,372,41,16,358,215,424,22,604,0
conductor-oss__conductor,redis-concurrency-limit,java,1,9,1,7,10,0,35,5,0,10,26,15,6,53,0
conductor-oss__conductor,redis-lock,java,1,9,2,7,10,0,51,5,1,17,33,29,6,75,0
conductor-oss__conductor,redis-persistence,java,1,32,30,54,45,9,915,32,8,303,727,1862,33,1697,0
conductor-oss__conductor,rest,java,1,20,0,26,19,0,130,12,0,7,97,168,0,216,0
conductor-oss__conductor,task-status-listener,java,1,11,0,17,20,0,110,11,7,34,83,54,11,148,0
conductor-oss__conductor,workflow-event-listener,java,1,18,0,23,23,0,80,13,10,15,75,40,5,106,0
crossoverJie__JCSprout,,java,1,119,16,194,162,10,487,127,57,93,348,190,60,724,0
crossoverJie__cim,,java,6,203,267,255,218,44,1075,278,76,514,738,485,145,1434,0
cymcsg__UltimateRecyclerView,,java,2,217,256,417,363,98,2776,371,157,1439,2219,2217,349,3832,13
daimajia__AndroidSwipeLayout,,java,2,34,50,59,61,18,357,57,14,225,262,340,89,555,0
daimajia__AndroidViewAnimations,,java,2,89,131,142,93,63,231,98,9,106,80,113,15,445,0
daimajia__NumberProgressBar,,java,1,5,0,5,6,0,85,4,0,38,114,29,3,82,0
daniulive__SmarterStreaming,SourceCode,java,1,8,2,23,41,0,315,20,17,75,213,500,2,423,0
dataease__dataease,,java,7,1063,1363,1452,1109,108,6070,910,347,2122,2573,2812,811,6821,1
datahub-project__datahub,buildSrc,java,1,13,0,4,3,0,52,2,0,21,64,37,1,63,0
datahub-project__datahub,datahub-frontend,java,1,45,33,69,50,3,426,49,19,122,430,224,32,386,1
datahub-project__datahub,datahub-graphql-core,java,1,628,1867,983,638,195,3184,506,539,1455,1565,3532,948,5024,0
datahub-project__datahub,datahub-upgrade,java,1,97,206,160,112,48,485,109,78,198,252,298,53,695,0
datahub-project__datahub,entity-registry,java,1,152,223,256,175,61,1264,310,97,521,664,742,142,1588,10
datahub-project__datahub,li-utils,java,1,27,12,39,28,0,425,24,10,107,34,168,0,283,0
datahub-project__datahub,metadata-auth,java,1,34,20,53,42,3,139,39,12,26,35,166,76,215,0
datahub-project__datahub,metadata-dao-impl,java,1,15,1,14,18,1,65,11,1,17,58,58,8,85,0
datahub-project__datahub,metadata-events,java,1,7,0,8,6,1,80,4,0,5,37,41,0,61,0
datahub-project__datahub,metadata-integration,java,1,17,10,27,22,3,121,24,6,27,83,67,24,130,0
datahub-project__datahub,metadata-io,java,1,18,9,29,31,0,144,39,11,33,61,74,2,166,0
datahub-project__datahub,metadata-jobs,java,1,6,0,4,5,0,6,2,0,0,3,3,0,11,0
datahub-project__datahub,metadata-models-custom,java,1,15,0,12,14,0,33,11,0,0,11,22,0,63,0
datahub-project__datahub,metadata-operation-context,java,1,24,6,41,41,11,191,73,6,58,69,135,38,268,0
datahub-project__datahub,metadata-service,java,1,11,0,14,10,0,35,7,0,0,0,0,2,23,0
datahub-project__datahub,metadata-utils,java,1,35,2,52,38,1,261,35,7,34,46,173,94,275,0
datahub-project__datahub,mock-entity-registry,java,1,4,0,6,3,0,23,3,2,3,8,16,0,44,0
davemorrissey__subsampling-scale-image-view,,java,1,15,9,34,42,7,427,49,24,258,598,243,29,430,0
debezium__debezium,,java,30,1583,4588,2967,2425,936,18626,3933,1706,14878,14395,13956,5682,23671,222
didi__DoKit,Android,java,1,19,0,25,18,1,211,21,3,66,136,113,3,256,0
didi__VirtualAPK,,java,5,121,107,202,197,20,1158,232,46,546,672,960,126,1435,12
dromara__hutool,,java,20,1716,3317,2614,1690,610,17619,4221,1804,14083,7923,19574,1497,27957,114
dropwizard__dropwizard,docs,java,1,33,11,48,32,0,75,25,8,11,19,47,11,158,0
dropwizard__dropwizard,dropwizard-auth,java,1,33,5,64,52,11,158,51,15,35,95,124,3,230,0
dropwizard__dropwizard,dropwizard-benchmarks,java,1,10,0,17,23,0,63,12,4,0,17,36,3,86,0
dropwizard__dropwizard,dropwizard-client,java,1,18,7,28,21,1,298,61,11,94,227,160,18,405,0
dropwizard__dropwizard,dropwizard-configuration,java,1,20,0,36,23,10,112,32,8,47,66,88,5,128,0
dropwizard__dropwizard,dropwizard-core,java,1,30,39,46,33,8,341,30,11,103,252,194,29,490,0
dropwizard__dropwizard,dropwizard-db,java,1,9,0,13,10,2,151,8,1,4,126,54,2,204,0
dropwizard__dropwizard,dropwizard-e2e,java,1,26,0,34,25,0,72,17,6,3,26,60,3,129,0
dropwizard__dropwizard,dropwizard-example,java,1,36,34,47,37,0,114,35,18,26,67,61,21,206,0
dropwizard__dropwizard,dropwizard-health,java,1,36,14,58,35,9,268,37,11,86,309,168,49,355,0
dropwizard__dropwizard,dropwizard-hibernate,java,1,17,3,28,20,2,162,25,12,90,78,129,10,251,0
dropwizard__dropwizard,dropwizard-http2,java,1,5,0,4,4,0,18,2,0,1,13,12,0,29,0
dropwizard__dropwizard,dropwizard-jackson,java,1,11,0,26,30,0,57,17,16,7,12,48,0,95,0
dropwizard__dropwizard,dropwizard-jdbi3,java,1,11,2,12,10,0,26,10,4,8,12,29,0,45,0
dropwizard__dropwizard,dropwizard-jersey,java,1,83,24,143,97,16,347,88,22,97,153,328,16,572,0
dropwizard__dropwizard,dropwizard-jetty,java,1,19,1,37,32,8,298,22,5,37,250,159,2,441,0
dropwizard__dropwizard,dropwizard-json-logging,java,1,17,7,24,16,4,132,23,6,44,109,92,14,189,0
dropwizard__dropwizard,dropwizard-lifecycle,java,1,13,6,19,14,3,106,30,10,18,93,65,12,139,0
dropwizard__dropwizard,dropwizard-logging,java,1,40,24,66,43,16,299,31,12,62,203,135,4,442,0
dropwizard__dropwizard,dropwizard-metrics,java,1,16,0,25,17,8,91,13,1,26,54,37,5,138,0
dropwizard__dropwizard,dropwizard-migrations,java,1,22,0,38,21,16,99,25,16,49,22,151,0,177,0
dropwizard__dropwizard,dropwizard-request-logging,java,1,21,4,27,22,3,60,13,6,4,29,26,0,114,0
dropwizard__dropwizard,dropwizard-servlets,java,1,19,0,33,28,6,140,29,8,56,98,111,13,186,0
dropwizard__dropwizard,dropwizard-testing,java,1,22,8,42,37,8,250,61,26,99,161,174,8,330,25
dropwizard__dropwizard,dropwizard-util,java,1,12,0,18,11,0,104,31,20,30,85,58,6,188,0
dropwizard__dropwizard,dropwizard-validation,java,1,31,1,55,36,1,142,16,1,32,51,63,8,197,0
dropwizard__dropwizard,dropwizard-views-mustache,java,1,6,0,4,5,0,14,2,1,2,10,8,0,21,0
dropwizard__dropwizard,dropwizard-views,java,1,11,0,14,10,1,36,9,2,10,14,40,4,53,0
dropwizard__metrics,,java,28,294,259,488,470,107,3102,691,219,1733,2848,2176,841,3104,0
dyc87112__SpringBoot-Learning,1.x,java,1,5,0,4,4,0,4,2,0,0,0,1,0,12,0
dyc87112__SpringBoot-Learning,2.x,java,1,5,0,4,4,0,4,2,0,0,0,1,0,11,0
eclipse-vertx__vert.x,,java,1,629,1889,1204,838,403,11438,4872,1091,8597,7432,9268,2651,15415,1095
elastic__logstash,,java,6,452,813,947,792,233,4778,1192,465,3058,3312,3879,1107,6353,20
elunez__eladmin,,java,5,355,664,554,348,69,1932,334,105,766,809,1255,462,2414,0
eugenp__tutorials,akka-modules,java,1,8,0,13,13,0,33,8,2,0,15,6,0,56,0
eugenp__tutorials,algorithms-modules,java,1,25,3,34,24,0,120,25,16,51,112,58,10,166,0
eugenp__tutorials,apache-cxf-modules,java,1,7,0,6,6,1,26,2,0,1,13,10,2,39,0
eugenp__tutorials,apache-httpclient4,java,1,27,3,30,26,0,43,17,4,3,7,22,1,98,0
eugenp__tutorials,apache-kafka-2,java,1,20,1,22,19,0,86,14,1,14,63,25,1,106,0
eugenp__tutorials,apache-kafka-3,java,1,10,4,10,9,0,12,5,0,8,1,4,0,29,0
eugenp__tutorials,apache-kafka,java,1,35,16,42,34,0,111,26,8,11,64,73,6,195,0
eugenp__tutorials,apache-libraries-2,java,1,15,0,18,14,0,21,9,1,0,1,16,0,51,0
eugenp__tutorials,apache-libraries,java,1,55,6,66,67,1,379,110,18,29,322,165,50,513,0
eugenp__tutorials,apache-olingo,java,1,10,0,13,15,0,99,9,3,2,102,80,5,121,0
eugenp__tutorials,apache-poi-2,java,1,25,0,22,24,0,48,11,0,11,6,60,0,104,0
eugenp__tutorials,apache-poi-3,java,1,16,4,12,15,0,27,6,3,13,12,15,0,58,0
eugenp__tutorials,apache-poi,java,1,20,0,20,19,0,30,10,0,1,1,27,0,74,0
eugenp__tutorials,apache-spark,java,1,30,0,38,29,0,121,23,12,36,65,57,1,210,0
eugenp__tutorials,apache-thrift,java,1,7,0,8,6,0,13,4,2,1,2,3,0,29,0
eugenp__tutorials,apache-velocity,java,1,11,5,8,10,0,17,4,1,2,11,10,2,31,0
eugenp__tutorials,atomix,java,1,5,0,5,6,0,8,3,1,1,4,4,0,14,0
eugenp__tutorials,aws-modules,java,1,5,0,4,4,0,7,2,0,0,3,2,0,11,0
eugenp__tutorials,azure,java,1,8,0,8,7,0,16,4,1,2,6,6,1,31,0
eugenp__tutorials,checker-framework,java,1,9,0,12,8,0,25,6,1,3,7,7,0,39,0
eugenp__tutorials,core-java-modules,java,1,7,0,6,6,0,7,3,0,0,1,3,0,18,0
eugenp__tutorials,data-structures,java,1,29,0,40,35,3,225,58,14,132,188,133,40,364,0
eugenp__tutorials,deeplearning4j,java,1,14,0,18,13,1,57,8,3,13,32,13,4,72,0
eugenp__tutorials,di-modules,java,1,9,0,10,8,0,22,10,2,0,13,8,8,42,0
eugenp__tutorials,disruptor,java,1,10,0,14,9,4,23,5,0,5,4,16,0,44,0
eugenp__tutorials,docker-modules,java,1,6,0,4,5,0,7,2,0,2,2,3,0,13,0
eugenp__tutorials,drools,java,1,21,8,27,22,0,94,18,4,12,67,37,7,154,0
eugenp__tutorials,dubbo,java,1,13,0,10,12,3,21,4,0,9,8,15,0,42,0
eugenp__tutorials,ethereum,java,1,33,11,34,32,0,102,26,12,26,56,77,2,177,0
eugenp__tutorials,feign,java,1,47,14,50,45,1,71,26,4,2,11,37,8,131,0
eugenp__tutorials,gcp-firebase,java,1,13,0,12,12,0,33,6,0,4,19,20,4,61,0
eugenp__tutorials,google-auto-project,java,1,6,0,4,5,0,3,1,0,1,0,4,0,9,0
eugenp__tutorials,gradle-modules,java,1,5,0,4,4,0,7,2,0,0,4,3,0,13,0
eugenp__tutorials,graphql-modules,java,1,6,0,6,5,0,12,3,0,1,7,5,0,20,0
eugenp__tutorials,grpc,java,1,35,3,42,38,0,97,22,15,26,49,59,0,167,0
eugenp__tutorials,guava-modules,java,1,7,0,6,6,2,11,3,0,5,9,9,0,20,0
eugenp__tutorials,hazelcast,java,1,8,0,6,7,0,9,3,0,1,4,4,0,19,0
eugenp__tutorials,httpclient-simple,java,1,27,3,30,26,0,40,17,4,2,7,22,1,92,0
eugenp__tutorials,hystrix,java,1,11,0,17,12,0,36,8,3,5,23,8,3,48,0
eugenp__tutorials,image-compressing,java,1,6,0,4,5,0,4,2,0,0,0,4,0,11,0
eugenp__tutorials,image-processing,java,1,38,0,38,36,0,72,19,0,27,3,68,0,175,0
eugenp__tutorials,intelliJ-modules,java,1,6,0,4,5,0,5,2,0,0,0,3,0,13,0
eugenp__tutorials,jackson-modules,java,1,47,2,77,55,6,207,62,1,6,141,101,25,293,0
eugenp__tutorials,jackson-simple,java,1,79,8,128,94,3,401,126,3,14,273,192,24,546,0
eugenp__tutorials,java-blockchain,java,1,7,0,6,6,0,25,3,0,3,22,7,0,37,0
eugenp__tutorials,java-jdi,java,1,5,0,4,4,0,15,2,1,7,10,10,0,29,0
eugenp__tutorials,java-numbers-2,java,1,5,0,4,4,0,16,3,1,6,16,14,1,27,0
eugenp__tutorials,java-panama,java,1,10,0,9,11,0,10,5,0,0,0,5,0,25,0
eugenp__tutorials,javafx,java,1,18,5,20,19,0,59,10,4,8,42,18,0,101,0
eugenp__tutorials,javax-sound,java,1,6,0,8,5,0,13,4,4,2,3,7,0,27,0
eugenp__tutorials,javaxval-2,java,1,38,6,48,37,0,138,26,4,7,67,73,10,235,0
eugenp__tutorials,javaxval,java,1,48,15,63,49,1,174,31,3,7,72,57,16,276,0
eugenp__tutorials,jaxb,java,1,28,1,30,25,0,85,20,2,4,37,25,0,141,0
eugenp__tutorials,jbang,java,1,6,0,3,0,0,8,3,1,0,1,2,0,17,0
eugenp__tutorials,jenkins-modules,java,1,6,0,5,7,0,17,4,1,5,9,10,1,23,0
eugenp__tutorials,jetbrains,java,1,5,0,4,4,0,21,4,1,2,1,17,0,43,0
eugenp__tutorials,jgit,java,1,12,5,14,11,0,20,7,0,6,4,6,0,42,0
eugenp__tutorials,jhipster-6,java,1,107,92,150,99,6,606,93,36,275,442,333,71,883,0
eugenp__tutorials,jhipster-8-modules,java,1,58,10,69,49,0,233,38,6,60,124,128,7,350,0
eugenp__tutorials,jhipster-modules,java,1,97,33,132,100,6,454,82,20,117,277,255,34,648,0
eugenp__tutorials,jmh,java,1,20,1,30,27,1,88,17,5,26,56,23,4,146,0
eugenp__tutorials,json-modules,java,1,21,2,24,20,1,102,16,1,2,87,53,2,164,0
eugenp__tutorials,ksqldb,java,1,7,0,8,6,0,29,4,0,0,14,6,0,29,0
eugenp__tutorials,kubernetes-modules,java,1,16,8,16,15,0,35,13,0,6,8,14,4,46,0
eugenp__tutorials,libraries-2,java,1,27,3,36,26,1,73,17,13,12,20,88,3,146,0
eugenp__tutorials,libraries-3,java,1,26,0,28,25,0,64,13,0,20,24,20,3,128,0
eugenp__tutorials,libraries-4,java,1,25,0,35,26,2,44,19,0,2,13,14,1,99,0
eugenp__tutorials,libraries-ai,java,1,4,0,4,2,0,10,2,0,0,5,2,0,14,0
eugenp__tutorials,libraries-apache-commons-2,java,1,19,3,20,18,3,45,10,0,15,19,45,0,85,0
eugenp__tutorials,libraries-apache-commons-collections,java,1,7,0,4,6,0,36,4,0,1,40,24,1,55,0
eugenp__tutorials,libraries-apache-commons,java,1,36,0,51,36,3,144,30,11,14,81,62,9,250,0
eugenp__tutorials,libraries-bytecode,java,1,12,1,15,17,0,44,10,5,2,36,34,3,56,0
eugenp__tutorials,libraries-cli,java,1,48,27,57,55,2,126,34,12,14,61,32,19,182,0
eugenp__tutorials,libraries-concurrency,java,1,7,0,4,5,0,15,2,0,0,8,3,0,16,0
eugenp__tutorials,libraries-data-2,java,1,36,5,41,41,0,124,18,3,25,67,73,11,214,0
eugenp__tutorials,libraries-data-3,java,1,40,2,56,39,0,239,50,4,7,174,108,15,367,0
eugenp__tutorials,libraries-data-db,java,1,59,7,81,61,3,296,59,21,68,208,110,12,476,0
eugenp__tutorials,libraries-data-io-2,java,1,8,2,13,14,0,82,32,8,33,2,85,8,150,0
eugenp__tutorials,libraries-data-io,java,1,48,15,61,55,5,284,80,7,69,157,127,10,422,0
eugenp__tutorials,libraries-data,java,1,61,17,76,60,0,222,47,12,21,146,121,2,389,0
eugenp__tutorials,libraries-files,java,1,8,0,12,15,0,48,12,3,5,22,28,8,68,0
eugenp__tutorials,libraries-http-2,java,1,32,4,36,31,0,99,16,2,34,41,88,5,185,0
eugenp__tutorials,libraries-http,java,1,30,8,38,28,0,107,18,4,8,71,41,4,165,0
eugenp__tutorials,libraries-io,java,1,19,0,24,18,0,51,12,2,8,8,23,0,101,0
eugenp__tutorials,libraries-jdk8,java,1,7,0,4,5,0,11,2,0,0,0,5,0,26,0
eugenp__tutorials,libraries-reporting,java,1,10,3,10,9,0,33,8,2,11,21,13,0,61,0
eugenp__tutorials,libraries-rpc,java,1,6,0,4,5,0,5,2,0,0,1,3,0,11,0
eugenp__tutorials,libraries-security,java,1,30,4,33,31,0,82,18,0,3,19,85,4,159,0
eugenp__tutorials,libraries-server-2,java,1,18,8,18,17,2,36,10,9,11,23,22,1,64,0
eugenp__tutorials,libraries-server,java,1,37,0,59,38,0,130,30,18,23,50,71,4,242,0
eugenp__tutorials,libraries-stream,java,1,9,0,10,8,0,28,7,2,1,18,12,2,50,0
eugenp__tutorials,libraries-testing-2,java,1,10,1,6,9,0,14,5,1,0,7,6,1,27,0
eugenp__tutorials,libraries-testing,java,1,27,6,26,26,0,70,17,2,11,48,29,7,121,0
eugenp__tutorials,libraries-transform,java,1,6,0,7,7,0,22,5,1,5,13,5,1,29,0
eugenp__tutorials,libraries,java,1,46,0,64,49,4,144,40,5,35,63,48,3,261,0
eugenp__tutorials,lightrun,java,1,19,3,24,18,0,63,19,3,12,23,31,8,96,0
eugenp__tutorials,logging-modules,java,1,32,14,42,31,6,84,22,5,32,40,53,14,150,0
eugenp__tutorials,lombok-modules,java,1,74,0,103,74,6,212,58,4,14,39,41,10,275,0
eugenp__tutorials,lucene,java,1,6,0,6,5,0,15,3,0,0,16,16,0,26,0
eugenp__tutorials,mapstruct-2,java,1,19,5,16,18,0,38,9,0,0,10,16,6,49,0
eugenp__tutorials,mapstruct,java,1,112,84,171,113,7,383,142,2,24,144,165,99,587,0
eugenp__tutorials,maven-modules,java,1,5,0,4,4,0,7,2,0,0,4,2,0,15,0
eugenp__tutorials,messaging-modules,java,1,11,0,10,10,0,19,5,1,0,8,5,0,36,0
eugenp__tutorials,metrics,java,1,21,1,24,20,0,39,12,1,3,12,9,0,78,0
eugenp__tutorials,microservices-modules,java,1,15,9,15,16,0,24,10,2,3,5,7,9,44,0
eugenp__tutorials,muleesb,java,1,6,0,6,5,0,6,3,0,0,0,5,0,16,0
eugenp__tutorials,mustache,java,1,12,1,10,11,0,41,7,1,5,27,14,0,71,0
eugenp__tutorials,mybatis,java,1,14,8,14,13,0,54,17,0,0,27,23,6,67,0
eugenp__tutorials,netflix-modules,java,1,19,15,20,18,0,40,10,8,2,11,18,0,74,0
eugenp__tutorials,optaplanner,java,1,7,0,8,6,0,29,5,0,6,18,10,1,46,0
eugenp__tutorials,orika,java,1,17,0,28,16,0,96,20,0,4,83,52,7,156,0
eugenp__tutorials,osgi,java,1,9,1,4,8,1,7,1,1,0,3,4,0,12,0
eugenp__tutorials,patterns-modules,java,1,46,69,68,45,2,246,44,33,81,222,136,58,426,0
eugenp__tutorials,performance-tests,java,1,48,52,70,47,5,372,100,10,43,360,202,88,566,0
eugenp__tutorials,persistence-modules,java,1,6,2,6,5,0,12,5,3,5,0,7,0,27,0
eugenp__tutorials,protobuffer,java,1,7,0,12,20,4,225,108,6,88,153,116,12,211,0
eugenp__tutorials,quarkus-modules,java,1,7,0,6,6,0,10,3,0,0,4,3,3,18,0
eugenp__tutorials,reactive-systems,java,1,23,16,23,24,0,43,15,0,3,11,14,10,70,0
eugenp__tutorials,reactor-core-2,java,1,7,0,6,6,0,8,3,1,2,0,6,0,20,0
eugenp__tutorials,reactor-core,java,1,16,0,20,15,0,33,10,1,0,7,8,0,67,0
eugenp__tutorials,rsocket,java,1,12,3,17,13,0,53,8,2,5,50,11,3,68,0
eugenp__tutorials,rule-engines-modules,java,1,5,0,4,4,0,5,2,1,0,0,1,0,13,0
eugenp__tutorials,rxjava-modules,java,1,9,0,12,8,0,25,6,0,3,7,9,0,45,0
eugenp__tutorials,saas-modules,java,1,10,1,12,9,4,18,5,0,4,3,7,0,35,0
eugenp__tutorials,security-modules,java,1,29,2,30,28,0,84,15,5,15,22,45,2,159,0
eugenp__tutorials,server-modules,java,1,17,5,19,18,0,60,13,6,13,35,48,4,91,0
eugenp__tutorials,spf4j,java,1,6,0,5,7,0,8,3,0,2,1,2,0,15,0
eugenp__tutorials,spring-4,java,1,52,5,64,51,4,100,44,8,15,40,27,10,203,0
eugenp__tutorials,spring-5-rest-docs,java,1,12,0,17,13,0,32,10,1,3,14,21,6,64,0
eugenp__tutorials,spring-5-webflux-2,java,1,36,11,40,35,0,78,22,5,6,53,45,20,142,0
eugenp__tutorials,spring-5-webflux,java,1,35,5,50,38,0,85,29,8,8,28,40,9,171,0
eugenp__tutorials,spring-5,java,1,39,3,54,38,1,142,34,8,30,69,77,9,266,0
eugenp__tutorials,spring-6-rsocket,java,1,8,1,6,7,0,17,3,0,0,0,13,4,34,0
eugenp__tutorials,spring-6,java,1,9,0,12,8,0,18,6,2,4,0,24,1,43,0
eugenp__tutorials,spring-activiti,java,1,17,0,16,15,0,33,9,1,0,15,13,0,61,0
eugenp__tutorials,spring-actuator,java,1,8,0,8,7,0,17,4,1,4,6,4,0,29,0
eugenp__tutorials,spring-ai,java,1,14,5,12,13,1,25,7,0,2,12,14,2,42,0
eugenp__tutorials,spring-aop-2,java,1,34,0,48,33,0,82,27,5,14,25,38,6,170,0
eugenp__tutorials,spring-aop,java,1,43,4,62,40,0,92,28,3,5,27,34,5,182,0
eugenp__tutorials,spring-batch-2,java,1,26,12,37,27,3,119,28,8,18,59,47,8,161,0
eugenp__tutorials,spring-batch,java,1,67,52,88,65,0,307,62,42,93,179,189,14,516,0
eugenp__tutorials,spring-boot-modules,java,1,47,11,71,48,0,115,40,14,26,29,18,3,250,0
eugenp__tutorials,spring-boot-rest,java,1,86,50,116,85,8,351,84,17,106,188,239,37,590,0
eugenp__tutorials,spring-cloud-modules,java,1,11,0,6,10,0,10,3,0,0,4,1,0,18,0
eugenp__tutorials,spring-core-2,java,1,66,5,88,64,2,169,59,15,27,72,58,20,305,0
eugenp__tutorials,spring-core-3,java,1,54,0,79,55,2,145,56,15,14,59,49,7,283,0
