repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed
527515025__springBoot,springboot-springSecurity2,java,1,11,15,10,15,54,40,14,40,17,23,1,25,12,30,24,0,71,16,0,12,25,23,8,3.6,2,17,3.73809,1.13333,1,6,0.222222,0,4,0.785674,0.222222,0,3,0.53287,0.425926,0,2,1.47059,2,0,0,0,,,0.8,3,0.8,5,6,3,3.6,2,17,1.7963,1,4,12,2.25569,10.3421,26.6842,104.821,2.20955,709.603,0.0349404,391.382,1125.98,1,0,0,1
527515025__springBoot,springboot-springSecurity3,java,1,9,19,8,19,84,67,17,68,24,44,1,27,12,38,26,0,108,18,3,12,48,44,4,4.42105,4,13,3.10035,1.26316,1,6,0.142857,0,8,0.901624,0.142857,0,1,0.349927,0.52381,0,3,2,4,0,0,0,,,0.631579,5,0.631579,3,6,3,4.42105,4,13,1.35714,1,2,12,1.47715,8.03125,17.5312,61.0828,1.2787,199.738,0.0203609,116,153.368,1,0,1,1
527515025__springBoot,springboot-springSecurity4,java,1,11,22,10,22,126,106,20,111,38,73,1,32,12,44,31,0,164,25,2,21,84,73,14,5.72727,4,30,6.18783,1.72727,1,12,0.166667,0,7,0.731925,0.166667,0,2,0.449868,0.579365,1,3,2.21053,5,0,0,0,,,0.545455,4,0.545455,4,6,3,5.72727,4,30,1.36508,1,2,12,1.59664,9.09474,22.1263,83.8259,1.82816,438.023,0.027942,226.178,571.103,1,0,1,1
527515025__springBoot,springboot-swagger-ui,java,1,11,10,10,10,67,59,8,55,17,38,1,20,8,20,19,1,84,19,0,13,42,38,8,6.7,4,27,7.15612,1.7,0.5,13,0.19403,0,2,0.464848,0.19403,0,2,0.431547,0.567164,1,1,2.47059,7,0.1,0.1,1,1,1,0.8,3,0.8,4,6,3,6.7,4,27,1.29851,1,2,12,1.95483,10.8936,26.5532,108.046,1.80035,949.558,0.0360154,353.296,432.483,1,1,0,1
Activiti__Activiti,activiti-api,java,1,8,11,7,12,68,63,5,6,3,3,1,18,1,23,19,5,71,6,0,2,2,3,3,5.66667,5,11,4.06885,0.25,0,3,0.0294118,0,1,0.168958,0.0294118,0,1,0.168958,0.0441176,0,2,0.666667,1,0.416667,0.416667,3,2,1.6,0.0909091,1,0.0909091,1,8,5,5.66667,5,11,0.132353,0,1,3,0.450634,5,8,18.5754,0.875,16.2535,0.00619181,18.5754,16.2535,1,1,0,1
Activiti__Activiti,activiti-core-common,java,1,6,2,5,2,8,6,2,7,2,5,1,7,1,4,6,0,10,3,1,4,4,5,0,4,4,6,2,1,1,2,0.5,0,2,0.866025,0.5,0,2,0.707107,0.625,1,1,2,3,0,0,0,,,0.5,1,0.5,1,7,4,4,4,6,1.875,1,6,6,1.61536,12.1667,42,178.681,2.91591,1084.06,0.0595605,490.591,3364.05,1,0,1,0
Activiti__Activiti,activiti-core,java,1,11,11,10,11,61,42,19,49,18,31,1,21,1,22,20,4,79,19,0,11,61,31,0,5.54545,3,22,5.89859,1.63636,0,9,0.180328,0,3,0.496156,0.180328,0,3,0.614262,0.508197,0,5,3.38889,5,0.363636,0.363636,3,2,1.75,0.0909091,1,0.0909091,1,8,5,5.54545,3,22,1.52459,1,3,8,1.33805,9.59524,27.2381,109.815,1.73826,649.518,0.0366051,285.501,1194.78,1,1,0,0
Activiti__Activiti,activiti-examples,java,1,4,3,3,3,20,17,3,16,9,7,1,6,0,6,5,0,29,3,0,3,24,7,2,6.66667,3,15,5.90668,3,2,6,0.15,0,1,0.357071,0.15,0,2,0.47697,0.35,0,3,2.66667,8,0,0,0,,,0,0,0,0,5,2,6.66667,3,15,2,1.5,4,5,1.22474,16.3529,42,189.088,2.21803,670.456,0.0630293,554.883,3380.15,0,0,0,1
Alluxio__alluxio,dora,java,1,26,155,25,233,1834,1618,216,2969,807,2162,1,180,156,387,336,84,2641,460,166,1248,2644,2162,411,7.87124,5,53,8.89667,3.46352,2,38,0.68048,0,20,1.41282,0.68048,0,33,1.59517,1.17884,1,11,3.27633,31,0.360515,0.360515,7,3,1.35366,1.00645,10,1.00645,17,8,5,7.87554,5,53,1.94166,1,4,30,2.45447,16.6165,52.2186,243.39,4.51103,3461.86,0.08113,624.252,6670.33,1,1,1,1
Angel-ML__angel,angel-ps,java,1,142,1093,134,1185,11879,10222,1657,18484,3088,15396,1,1234,3887,2217,1469,715,14967,4813,3576,21939,13392,15396,5331,10.0245,5,197,13.9608,2.60591,1,535,1.84687,0,43,4.29496,1.84687,0,370,11.5565,1.29607,1,11,4.33679,342,0.603376,0.603376,40,4,1.72097,3.55627,56,3.55627,145,10,7,10.0245,5,197,2.14959,1,5,97,2.71358,17.795,115.328,623.123,12.0081,89566.4,0.207708,948.287,18126.3,1,1,1,1
