repo,subrepo,lang,n_project,n_folder,n_file,n_scope,n_type,n_operation,n_operation_method,n_operation_constructor,n_variable,n_variable_field,n_variable_param,e_includes,e_contains,e_requires,e_declares,e_encloses,e_specializes,e_encapsulates,e_returns,e_instantiates,e_invokes,e_uses,e_parameterizes,e_typed,methods_per_class_mean,methods_per_class_median,methods_per_class_max,methods_per_class_std,fields_per_class_mean,fields_per_class_median,fields_per_class_max,call_fanout_mean,call_fanout_median,call_fanout_max,call_fanout_std,call_fanin_mean,call_fanin_median,call_fanin_max,call_fanin_std,arity_mean,arity_median,arity_max,field_uses_fanin_mean,field_uses_fanin_max,inh_parents_mean,inh_children_mean,inh_children_max,inh_depth_max,inh_depth_mean,file_req_out_mean,file_req_out_max,file_req_in_mean,file_req_in_max,fs_depth_max,scope_depth_max,scope_to_scope_fanout_mean,scope_to_scope_fanout_p90,scope_to_scope_fanout_max,scope_to_type_fanout_mean,scope_to_type_fanout_p90,scope_to_type_fanout_max,folder_to_folder_fanout_mean,folder_to_folder_fanout_p90,folder_to_folder_fanout_max,folder_to_file_fanout_mean,folder_to_file_fanout_p90,folder_to_file_fanout_max,num_methods_mean,num_methods_median,num_methods_max,stmts_mean,stmts_median,stmts_p90,stmts_max,stmts_std,halstead_vocabulary_mean,halstead_length_mean,halstead_volume_mean,halstead_difficulty_mean,halstead_effort_mean,halstead_estimatedBugs_mean,halstead_volume_p90,halstead_effort_p90,coverage_requires,coverage_specializes,coverage_instantiates,coverage_typed,n_type_inbound,n_type_outbound,n_type_transit,n_type_hidden,pct_type_classified,pkg_pct_inbound_mean,pkg_pct_outbound_mean,pkg_pct_transit_mean,pkg_pct_hidden_mean,pkg_pct_inbound_max,pkg_pct_outbound_max,pkg_pct_transit_max,pkg_pct_hidden_max,pkg_profile_entropy_mean,pct_pkg_dominant_inbound,pct_pkg_dominant_outbound,pct_pkg_dominant_transit,pct_pkg_dominant_hidden
ipkn__crow,,cpp,1,8,32,12,253,458,268,51,1913,210,682,32,40,0,2679,267,35,2102,21,41,248,1453,150,176,1.26087,0,33,3.67922,0.83004,0,24,0.541485,0,12,1.29131,0.5131,0,17,1.56408,0.165939,0,10,1.42857,24,0.13834,0.13834,23,1,1,0,0,0,0,4,2,0.75,1,6,10.5,30,58,0.875,3,3,4,22,22,,,,,,,,,,,,,,,,,0,1,1,1,5,15,1,232,1,0.210606,0.0759324,0.0227273,0.690734,1,0.333333,0.25,1,0.444262,0.181818,0,0,0.818182
jomjol__AI-on-the-edge-device,,cpp,1,26,114,2,266,1498,588,79,7230,918,3566,215,140,0,9507,16,25,7712,34,19,616,5206,0,255,2.50752,0,44,7.52052,3.45113,0,43,0.411215,0,22,1.40538,0.394526,0,40,1.58974,0,0,0,1.47386,39,0.093985,0.093985,5,3,1.6087,0,0,0,0,7,0,0,0,0,1,2,2,0.961538,3,14,4.38462,10,23,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,266,1,0,0,0,1,0,0,0,1,0,0,0,0,1
justadudewhohacks__opencv4nodejs,,cpp,1,19,235,7,90,299,260,14,947,59,329,175,254,0,1435,79,27,1218,0,0,0,54,29,0,3.04444,2,9,2.62852,0.655556,0,11,0,0,0,0,0,0,0,0,0.0802676,0,1,0.0508475,3,0.3,0.3,9,4,2.2963,0,0,0,0,5,0,0,0,0,6.85714,18,18,0.947368,1,15,12.3684,24,32,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,90,1,0,0,0,1,0,0,0,1,0,0,0,0,1
justcallmekoko__ESP32Marauder,,cpp,1,2,41,0,34,375,347,12,1657,221,538,52,43,0,2406,8,0,1814,0,0,148,1064,4,89,10.5588,2,108,20.7835,6.5,2,46,0.394667,0,21,1.41571,0.394667,0,16,1.26448,0.0106667,0,2,0.945701,17,0,0,0,,,0,0,0,0,3,,,,,,,,0.5,1,1,20.5,35,35,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,34,1,,,,,,,,,,,,,
kamyu104__LeetCode-Solutions,,cpp,1,2,2835,0,344,5106,4843,215,28083,714,11502,0,2837,0,38516,111,3,30945,21,73,536,17636,114,183,14.7035,3,3005,167.56,2.07558,2,51,0.104975,0,5,0.416026,0.0699177,0,12,0.417976,0.00509205,0,7,0.556022,7,0.00872093,0.00872093,2,1,1,0,0,0,0,3,,,,,,,,0.5,1,1,1417.5,2835,2835,,,,,,,,,,,,,,,,,0,1,1,1,24,9,0,311,1,,,,,,,,,,,,,
kdrag0n__safetynet-fix,,cpp,1,4,3,3,8,28,19,3,154,39,83,2,7,0,195,14,1,143,0,1,14,63,3,2,2.75,1,8,2.90474,4.875,4.5,15,0.5,0,2,0.566947,0.25,0,2,0.50885,0.107143,0,3,0.615385,7,0.125,0.125,1,1,1,0,0,0,0,5,1,0.333333,1,1,2.66667,5,5,0.75,1,1,0.75,3,3,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,5,1,0.166667,0.333333,0.0666667,0.433333,0.5,1,0.2,0.8,0.573976,0,0.333333,0,0.666667
keepassxreboot__keepassxc,,cpp,1,56,754,35,840,6657,5531,398,20338,1918,8682,1840,810,0,32377,776,141,25794,307,398,2314,7758,63,1277,7.05833,2,197,16.1882,2.28333,0,36,0.347604,0,13,0.975103,0.347003,0,51,1.72159,0.00886285,0,4,0.55683,23,0.167857,0.167857,19,2,1.27143,0,0,0,0,6,2,0.228571,1,3,4.37143,10,66,0.982143,3,17,13.4643,36,90,,,,,,,,,,,,,,,,,0,1,1,1,12,15,1,812,1,0.0375812,0.00892857,0.00178571,0.951705,0.625,0.178571,0.0357143,1,0.124621,0.05,0,0,0.95
kelektiv__node.bcrypt,,cpp,1,2,4,1,5,43,6,3,258,12,146,3,6,0,324,14,0,266,0,0,21,182,0,3,1.8,3,3,1.46969,2.4,3,4,0.488372,0,6,1.04263,0.488372,0,5,1.0647,0,0,0,1.25,4,0,0,0,,,0,0,0,0,3,0,0,0,0,3,3,3,0.5,1,1,2,4,4,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0,1
kyleneideck__BackgroundMusic,,cpp,1,17,178,2,128,1402,1031,162,5101,260,3322,261,195,0,8793,58,15,6295,16,115,337,1674,32,369,9.32031,3,128,16.7406,2.03125,1,19,0.240371,0,7,0.61484,0.240371,0,57,1.77074,0.0185449,0,4,1.33077,15,0.117188,0.117188,4,3,1.46667,0,0,0,0,6,0,0,0,0,0,0,0,0.941176,3,4,10.4706,32,37,,,,,,,,,,,,,,,,,0,1,1,1,3,6,1,118,1,,,,,,,,,,,,,
leela-zero__leela-zero,,cpp,1,7,78,14,848,2111,1202,250,6790,425,3594,173,85,0,10049,1502,38,8089,470,314,1050,4065,351,935,1.71226,0,71,6.50071,0.501179,0,24,0.497395,0,19,1.12331,0.494079,0,58,2.75922,0.124586,0,4,1.01882,46,0.0448113,0.0448113,7,3,1.38889,0,0,0,0,4,2,0.857143,2,6,28.3571,70,196,0.857143,3,3,11.1429,54,54,,,,,,,,,,,,,,,,,0,1,1,1,9,9,4,826,1,0.0529312,0.0122283,0.171296,0.763544,0.5,0.1,1,1,0.239105,0,0,0.166667,0.833333
