repo,subrepo,lang,includes,contains,declares,encloses,specializes,encapsulates,returns,instantiates,invokes,uses,parameterizes,typed,measures,overrides
JamesNK__Newtonsoft.Json,,csharp,40,932,1521,2040,557,7270,236,4279,8895,896,4561,1123,14110,402
JavScraper__Emby.Plugins.JavScraper,,csharp,10,50,68,83,9,332,17,40,134,51,325,46,501,29
JeffreySu__WeiXinMPSDK,,csharp,578,1788,3243,3918,1436,5912,1046,1359,6383,1958,12680,1424,13437,23
Jessecar96__SteamDesktopAuthenticator,,csharp,2,20,25,28,0,164,2,27,106,33,171,6,270,0
JosefNemec__Playnite,,csharp,118,736,1231,1458,413,10491,333,1322,4950,1197,7649,2122,12721,219
JoshClose__CsvHelper,,csharp,35,457,985,1535,167,2565,113,2260,2531,118,1622,491,5623,52
JustArchiNET__ArchiSteamFarm,,csharp,41,224,218,267,93,1724,8,138,2170,421,1750,180,2816,21
Kareadita__Kavita,,csharp,88,728,791,879,144,4240,194,1672,5658,871,4539,1354,7935,18
Kinnara__ModernWpf,,csharp,106,729,873,980,233,7449,174,759,4597,303,6796,965,11315,234
Klocman__Bulk-Crap-Uninstaller,,csharp,116,491,659,827,193,5440,143,488,3293,532,5062,1011,7899,189
Kyome22__RunCat_for_windows,,csharp,1,1,2,2,0,42,0,1,21,0,26,0,52,0
LibreHardwareMonitor__LibreHardwareMonitor,,csharp,29,269,455,665,146,4189,59,394,1867,848,2523,1118,4008,146
Lidarr__Lidarr,,csharp,423,2256,2805,3304,1083,13520,1174,3166,12904,340,12054,6313,24979,237
LykosAI__StabilityMatrix,,csharp,129,931,991,1205,323,5083,193,711,2776,435,4241,1331,8030,125
MahApps__MahApps.Metro,,csharp,42,336,346,389,95,3632,18,148,1224,1610,3084,202,4836,55
MapsterMapper__Mapster,,csharp,50,241,632,954,62,1455,146,561,1273,87,1312,289,3393,62
MaterialDesignInXAML__MaterialDesignInXamlToolkit,,csharp,69,593,636,730,108,3513,50,243,1079,138,3404,196,5511,4
MediaBrowser__Emby,,csharp,189,973,1602,2005,444,12006,218,1101,7096,2376,13066,1513,16524,738
Megabit__Blazorise,,csharp,281,1403,1471,1724,883,23131,158,461,5872,513,9804,1911,21024,3943
MessagePack-CSharp__MessagePack-CSharp,,csharp,64,375,1186,1426,179,5126,308,1132,5254,2405,4496,2052,8737,56
MicaForEveryone__MicaForEveryone,,csharp,30,151,119,146,47,815,23,49,350,48,580,194,1150,17
MirrorNetworking__Mirror,,csharp,149,818,1212,1632,611,7339,82,741,5098,2428,3909,1234,11098,622
ModernFlyouts-Community__ModernFlyouts,,csharp,31,113,143,192,19,1297,23,42,535,101,906,73,1668,57
MonoGame__MonoGame,,csharp,122,1327,1362,1647,296,11736,611,2154,7966,5747,10150,4075,15852,513
MudBlazor__MudBlazor,,csharp,190,797,957,1222,345,17013,211,1240,3867,258,3482,534,11661,147
MvvmCross__MvvmCross,,csharp,244,1396,3682,6075,2097,8534,460,2273,4195,459,11496,4682,17712,1017
NLog__NLog,,csharp,155,783,989,1289,607,7701,372,2540,9954,1552,8495,1815,14617,581
NickeManarin__ScreenToGif,,csharp,83,616,598,726,164,4710,76,378,3196,410,4952,354,6917,78
OdysseusYuan__LKY_OfficeTools,,csharp,4,30,62,97,0,118,0,94,161,26,106,0,305,0
Ombi-app__Ombi,,csharp,168,1027,1279,1467,366,3797,64,1202,3207,229,4864,1800,7842,17
OpenRA__OpenRA,,csharp,126,1455,2927,3224,2931,21436,1100,3825,14797,16786,18332,14398,25104,2709
OptiKey__OptiKey,,csharp,111,563,604,719,309,3110,26,448,1197,552,1840,596,3969,80
Orbmu2k__nvidiaProfileInspector,,csharp,11,56,74,96,9,945,18,85,444,192,694,94,1036,0
OrchardCMS__OrchardCore,,csharp,1286,4582,4947,6222,1873,16725,1040,2580,9238,1736,17683,9199,29745,753
Perfare__Il2CppDumper,,csharp,8,49,117,125,12,1147,20,64,471,759,389,126,757,59
Planshit__Tai,,csharp,51,210,213,280,50,1707,42,153,872,115,1118,310,2182,5
Ponderfly__GoogleTranslateIpCheck,,csharp,1,1,3,0,0,2,0,0,0,0,0,0,8,0
PowerShell__PSReadLine,,csharp,4,87,105,147,23,2009,40,172,3066,1121,1367,373,2587,40
PowerShell__PowerShell,,csharp,130,1320,3476,4139,1603,33968,2240,6264,36157,8233,34245,10704,46004,2747
PrismLibrary__Prism,,csharp,248,1086,1050,1320,510,5102,358,2361,3529,453,3930,898,10168,161
Prowlarr__Prowlarr,,csharp,290,1499,2066,2406,818,8504,1183,2029,6961,1456,8441,4239,16031,227
QL-Win__QuickLook,,csharp,31,91,103,135,6,677,8,41,282,63,610,48,1085,11
QianMo__Unity-Design-Pattern,,csharp,83,120,484,361,206,1333,66,281,500,157,537,316,2858,191
QuantConnect__Lean,,csharp,232,3768,4497,5342,3335,27262,2181,11194,29603,7453,25318,11713,44296,2737
QuestPDF__QuestPDF,,csharp,25,332,442,516,147,2044,433,616,2392,720,1573,972,3875,104
Radarr__Radarr,,csharp,454,2398,3013,3581,1153,13375,1212,3061,12358,330,11575,6227,25056,321
RayWangQvQ__BiliBiliToolPro,,csharp,41,206,232,271,63,698,8,76,367,42,519,253,1297,9
Redth__PushSharp,,csharp,17,70,107,118,24,353,5,101,140,1,241,80,575,0
RicoSuter__NSwag,,csharp,91,410,589,855,122,1602,54,911,969,64,1479,409,3640,21
Sanakan8472__copy-dialog-lunar-lander,,csharp,6,11,23,31,4,208,0,9,90,44,168,13,260,8
SciSharp__TensorFlow.NET,,csharp,152,1177,1495,1753,520,17957,4294,3134,18020,5367,24039,10805,26481,261
Scighost__Starward,,csharp,33,249,316,399,62,1876,21,128,1125,73,1714,285,2862,103
ScottPlot__ScottPlot,,csharp,168,1425,1871,2236,1349,7318,703,1321,7687,1836,8129,2004,14820,296
SebLague__Digital-Logic-Sim,,csharp,30,114,124,139,16,1315,44,44,846,321,600,343,1717,30
SebLague__Geographical-Adventures,,csharp,105,369,437,400,131,3571,142,275,2260,1741,2615,901,4294,90
ShareX__ShareX,,csharp,67,688,978,1073,349,7777,362,868,6065,1727,8530,1138,13132,449
Siccity__xNode,,csharp,6,30,43,59,1,404,23,11,319,169,337,90,586,0
